lam      chi    loggf
3253.174 3.368 -6.316         
3253.599 3.251 -0.636     
3253.825 2.559 -2.053      
3253.943 2.609 -2.228      
3254.074 2.882 -5.575         
3254.240 2.559 -5.660      
3254.266 2.865 -5.287         
3254.362 3.267 -0.058      
3254.455 2.450 -1.323         
3254.723 2.692 -1.927      
3255.945 2.759 -4.830        
3256.118 2.808 -5.963         
3256.515 2.998 -5.300         
3256.521 2.469 -2.860         
3257.100 2.940 -2.301         
3257.212 0.990 -4.347         
3257.235 2.990 -1.167     
3257.593 2.176 -1.148     
3258.278 2.433 -7.282    
3258.472 2.882 -5.364         
3258.620 2.482 -3.175         
3259.647 2.609 -2.400      
3259.794 2.940 -5.659         
3259.909 2.759 -5.674        
3259.990 2.449 -1.368     
3260.267 2.559 -2.293      
3260.424 2.404 -6.916     
3260.848 2.865 -4.406         
3261.187 2.885 -7.521         
3261.381 2.609 -8.341      
3261.799 1.557 -4.176         
3261.894 3.237 -6.060        
3262.009 3.368 -1.048         
3262.259 2.453 -6.699    
3262.929 2.876 -4.437         
3263.132 2.865 -4.063         
3263.368 2.424 -1.896      
3263.439 3.252 -5.798         
3263.696 2.808 -6.440         
3264.393 2.808 -3.658         
3264.512 2.198 -1.315     
3264.696 2.469 -2.485         
3265.047 0.087 -3.002     
3265.110 3.038 -7.107         
3265.543 2.728 -1.410         
3265.579 3.634 -4.955      
3265.617 2.176 -0.612     
3267.006 3.267 -3.965         
3267.018 2.424 -5.789     
3267.992 2.609 -2.751      
3268.141 2.484 -6.954     
3268.233 2.223 -1.686       
3269.159 2.609 -6.498      
3269.229 3.397 -1.335         
3269.419 2.198 -1.815         
3269.538 1.557 -3.786         
3269.944 2.176 -3.460         
3270.685 3.695 -4.153      
3270.803 2.433 -7.512    
3271.000 2.198 -0.500  
3271.485 3.251 -1.022     
3271.684 1.485 -2.768     
3271.816 2.940 -7.796         
3271.842 2.876 -6.941         
3272.468 2.851 -4.060         
3272.596 1.557 -3.187     
3272.614 2.833 -4.414         
3274.026 2.588 -2.687      
3274.231 2.223 -3.548         
3274.445 3.368 -1.191         
3274.984 2.940 -6.002         
3275.239 1.011 -5.618         
3275.672 2.759 -1.570         
3275.683 2.832 -2.927        
3275.730 2.808 -4.132         
3275.841 2.949 -2.910    
3276.136 2.453 -7.205    
3276.470 2.198 -1.595     
3276.980 2.833 -4.828         
3276.994 2.588 -2.905      
3277.477 2.998 -6.321         
3278.730 2.588 -1.657      
3278.740 2.424 -2.207      
3279.152 2.588 -4.835      
3279.730 2.990 -1.828     
3280.260 3.301 -0.127      
3280.747 3.018 -2.528     
3281.828 1.557 -3.304         
3282.292 2.865 -3.726         
3282.475 2.424 -6.180     
3282.717 2.949 -2.076     
3282.890 3.274 -0.559     
3283.161 2.940 -8.860         
3283.418 0.958 -4.714         
3284.538 2.832 -3.946        
3284.588 2.198 -1.341     
3284.655 2.833 -5.908         
3284.689 2.559 -1.658      
3284.754 2.865 -4.060         
3284.908 2.759 -3.995        
3285.157 2.433 -7.402     
3285.195 2.998 -2.017         
3285.271 2.588 -4.288      
3285.543 2.559 -2.327       
3286.016 2.223 -2.264         
3286.445 3.397 -2.183         
3286.753 2.176 -0.168     
3286.953 3.417 -3.068         
3287.092 2.940 -1.782         
3287.356 2.808 -4.827         
3288.649 2.424 -2.066      
3288.798 2.453 -6.949    
3288.851 2.851 -3.926         
3288.851 3.237 -5.269        
3288.965 2.198 -1.904     
3289.433 2.832 -2.720        
3290.710 2.176 -1.834         
3290.988 2.223 -1.211     
3291.105 2.876 -5.467         
3291.173 2.559 -3.116       
3291.282 2.998 -9.341         
3291.436 3.695 -4.089      
3291.476 3.038 -5.141         
3291.995 2.404 -7.751     
3292.021 3.251 -0.074     
